epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.7239147156476975,0.05542311088315078,0.8489583333333334,0.9928571428571429
2,0.18045973430077236,0.05641374098403113,0.946875,0.9785714302744184
3,0.12673805554707845,0.06368262256894792,0.9645833333333333,0.9785714319774083
4,0.10176297277212143,0.06889493170061282,0.9697916666666667,0.9785714319774083
5,0.06966662195821603,0.03252836550985064,0.98125,0.9857142874172755
6,0.048346502954761186,0.10381468313613108,0.9875,0.9857142874172755
7,0.044972988714774446,0.04946344755589962,0.9854166666666667,0.9857142857142858
8,0.07019254018863043,0.06215855832477765,0.9802083333333333,0.9714285714285714
9,0.040524083127578096,0.041872852481901646,0.9864583333333333,0.9785714285714285
10,0.030714562411109605,0.029555876859064613,0.9927083333333333,0.9857142874172755
11,0.025513648614287378,0.06494742889855323,0.99375,0.9785714285714285
12,0.018783474961916607,0.023051200254953334,0.9927083333333333,0.9857142874172755
13,0.02431861124932766,0.0498566759750247,0.9927083333333333,0.9785714319774083
14,0.018881692985693612,0.05850528632955892,0.9927083333333333,0.9785714319774083
15,0.014166768764456113,0.08110790315882437,0.996875,0.9785714302744184
16,0.018620531385143597,0.07399900981857042,0.9958333333333333,0.9857142874172755
17,0.004976551234722138,0.030150075636005826,0.9979166666666667,0.9928571445601327
18,0.010972352574268977,0.03280015303004932,0.9958333333333333,0.9928571445601327
19,0.014196805035074552,0.06437825415216919,0.9947916666666666,0.9785714319774083
20,0.018834712107976277,0.09445958426222205,0.9958333333333333,0.9785714285714285
21,0.005511430402596791,0.05865877347782121,0.9979166666666667,0.9857142891202654
22,0.007391873747110367,0.08979740931785532,0.996875,0.9785714319774083
23,0.003955492625633875,0.050781857055179506,0.9989583333333333,0.9928571445601327
24,0.005157289529840152,0.07695425874886236,0.9979166666666667,0.9857142874172755
25,0.01621411641438802,0.09863245105038264,0.9979166666666667,0.9785714302744184
26,0.006779928505420685,0.0625172486370762,0.996875,0.9785714319774083
27,0.005662217487891515,0.09329076401273986,0.9979166666666667,0.9857142874172755
28,0.005381025001406669,0.05527221382030153,0.9979166666666667,0.9785714302744184
29,0.0007167115807533264,0.056284118841202664,1.0,0.9857142874172755
30,0.00073563518623511,0.07173692541712495,1.0,0.9857142874172755
31,0.00666573258737723,0.03555648377098675,0.9979166666666667,0.9857142874172755
32,0.002477702125906944,0.03680532554031483,0.9989583333333333,0.9928571445601327
33,0.0045945849269628525,0.05984512984785917,0.9979166666666667,0.9928571445601327
34,0.013450852036476136,0.04851826926709951,0.9979166666666667,0.9928571445601327
35,0.002044884612162908,0.04806583997394357,0.9989583333333333,0.9928571445601327
36,0.0006769744058450063,0.08349878974757823,1.0,0.9785714319774083
37,0.0022622932990392047,0.05911371312769396,0.9989583333333333,0.9857142891202654
38,0.00637408085167408,0.04502790389981653,0.9989583333333333,0.9928571445601327
39,0.005499500781297684,0.055112321511010774,0.9989583333333333,0.9857142874172755
40,0.00035297125577926636,0.04730537894605991,1.0,0.9928571445601327
41,0.0005469520886739095,0.057005474284856715,1.0,0.9928571445601327
42,0.002612795059879621,0.03317592172700513,0.9989583333333333,0.9928571445601327
43,0.003046820933620135,0.029866529666885203,0.9989583333333333,0.9928571445601327
44,0.00032499196628729503,0.03709387345422458,1.0,0.9928571445601327
45,0.00026437280078728996,0.03330594193996928,1.0,0.9928571445601327
46,0.0016727596521377563,0.028974691818335226,0.9989583333333333,0.9928571445601327
47,0.0003333758562803268,0.03280994499800727,1.0,0.9928571445601327
48,0.0003634512424468994,0.026797444044080163,1.0,0.9928571445601327
49,0.00042384353776772816,0.034676665357047956,1.0,0.9928571445601327
50,0.0002510262032349904,0.039808125192731886,1.0,0.9857142891202654
